food_name,cal_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,sugar_per_100g,fiber_per_100g,sodium_per_100g,satfat_per_100g,matched
package package water- extra-firm tofu,83.0,9.98,5.26,1.18,0.71,1.0,4.0,0.919,yes
package package wide ricesticks,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
package peanut butter chips,432.0,9.8,20.0,62.2,0.0,4.2,328.0,5.59,yes
package pepperoni,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
package precooked brown rice,363.0,7.23,2.78,76.5,0.66,4.6,8.0,0.557,yes
package precooked farro,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
package presliced mushrooms,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
package quick-cooking wild rice,101.0,3.99,0.34,21.3,0.73,1.8,3.0,0.049,yes
package quick-rise yeast,185.0,23.9,0.9,20.4,1.6,6.5,3380.0,0.0,yes
package ready-to-eat coleslaw,352.0,11.2,3.3,75.7,20.0,9.1,27.0,0.496,yes
package reduced-fat silken firm tofu,62.0,6.9,2.7,2.4,1.27,0.1,36.0,0.406,yes
package refrigerated pie dough,424.0,5.4,18.9,59.1,0.0,2.5,294.0,4.75,yes
package tempeh,192.0,20.3,10.8,7.64,0.0,0.0,9.0,2.54,yes
package thin ricesticks,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
package variety dried seven-bean mix,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packaged angel hair slaw,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packaged cabbage-and-carrot coleslaw,120.0,0.79,7.09,13.2,9.33,2.8,178.0,1.06,yes
packaged coleslaw,120.0,0.79,7.09,13.2,9.33,2.8,178.0,1.06,yes
packaged fried onion,182.0,2.16,8.92,35.6,12.9,5.7,146.0,1.16,yes
packaged matchstick-cut carrots,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packaged prewashed torn collard greens,32.0,3.02,0.61,5.42,0.46,4.0,17.0,0.055,yes
packaged quinoa,120.0,4.4,1.92,21.3,0.87,2.8,7.0,0.231,yes
packages - cream cheese,297.0,13.1,4.03,52.1,5.04,2.0,867.0,0.409,yes
packages active dry yeast,325.0,40.4,7.61,41.2,0.0,26.9,51.0,1.0,yes
packages baby spinach,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packages blackberries,43.0,1.39,0.49,9.61,4.88,5.3,1.0,0.014,yes
packages cream cheese,297.0,13.1,4.03,52.1,5.04,2.0,867.0,0.409,yes
packages dry yeast,325.0,40.4,7.61,41.2,0.0,26.9,51.0,1.0,yes
packages free-range chicken,97.0,20.1,1.8,0.0,0.0,0.0,49.0,0.706,yes
packages frozen acai packs,182.0,2.16,8.92,35.6,12.9,5.7,146.0,1.16,yes
packages frozen spinach,182.0,2.16,8.92,35.6,12.9,5.7,146.0,1.16,yes
packages gourmet mushroom blend,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packages lady fingers,325.0,18.7,20.3,16.8,0.23,0.8,787.0,3.9,yes
packages of jello,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packages packages baby spinach,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packages packages blueberries,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packages packages cream cheese,297.0,13.1,4.03,52.1,5.04,2.0,867.0,0.409,yes
packages packages microwave-in-a-bag haricots verts,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packages packages mushrooms,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packages packages precooked brown rice,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packages packages presliced exotic mushroom blend,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packages packages refrigerated red potato wedges,182.0,2.16,8.92,35.6,12.9,5.7,146.0,1.16,yes
packages packages unflavored gelatin,456.0,3.13,28.0,51.8,36.8,9.9,285.0,26.4,yes
packages precooked brown rice,363.0,7.23,2.78,76.5,0.66,4.6,8.0,0.557,yes
packages puff pastry dough for turnovers empanadas,551.0,7.3,38.1,45.1,0.74,1.5,249.0,9.64,yes
packages quick-rise yeast,185.0,23.9,0.9,20.4,1.6,6.5,3380.0,0.0,yes
packages rapid-rise yeast,185.0,23.9,0.9,20.4,1.6,6.5,3380.0,0.0,yes
packet of frozen pituya dragonfruit,365.0,2.17,0.0,89.1,80.7,0.0,0.0,0.0,yes
pad thai rice noodles,108.0,1.79,0.2,24.0,0.03,1.0,19.0,0.023,yes
pages verveine du velay extra liqueur,336.0,0.1,0.3,46.8,38.3,0.0,8.0,0.106,yes
pale ale,34.0,0.0,0.0,8.76,8.9,0.0,7.0,0.0,yes
palms dry italian bread crumbs,395.0,13.4,5.3,72.0,6.2,4.5,732.0,1.2,yes
pan juices,146.0,28.3,2.78,1.8,1.2,0.0,993.0,1.04,yes
pan roasted fingerling potatoes,242.0,3.24,10.3,34.0,1.16,3.6,77.0,0.805,yes
pan sauce,146.0,28.3,2.78,1.8,1.2,0.0,993.0,1.04,yes
pancake ingredients,268.0,6.08,14.8,27.8,1.79,3.3,764.0,2.5,yes
pancakes,268.0,6.08,14.8,27.8,1.79,3.3,764.0,2.5,yes
pancetta or bacon,309.0,11.7,29.5,5.31,0.0,2.6,1460.0,4.62,yes
panko bread crumbs,395.0,13.4,5.3,72.0,6.2,4.5,732.0,1.2,yes
papaya,43.0,0.47,0.26,10.8,7.82,1.7,8.0,0.081,yes
pappardelle pasta,371.0,13.0,1.51,74.7,2.67,3.2,6.0,0.277,yes
paprika,282.0,14.1,12.9,54.0,10.3,34.9,68.0,2.14,yes
parmesan,420.0,28.4,27.8,13.9,0.07,0.0,1800.0,15.4,yes
parmesan bread crumbs,395.0,13.4,5.3,72.0,6.2,4.5,732.0,1.2,yes
parmesan cheese,420.0,28.4,27.8,13.9,0.07,0.0,1800.0,15.4,yes
parmesan cheese rind,420.0,28.4,27.8,13.9,0.07,0.0,1800.0,15.4,yes
parmigiano-reggiano cheese,295.0,7.1,28.6,3.5,3.5,0.0,436.0,18.0,yes
parsley,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
parsley flakes,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
parsley leaves,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
parsley leaves and tender stems,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
parsley leaves and thin stems,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
parsley leaves from one bunch,400.0,7.1,5.0,82.8,20.4,5.8,464.0,0.6,yes
parsley or chives,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
parsley or cilantro,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
parsley or mint,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
parsley sprigs,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
parslied brown rice pilaf,359.0,10.4,1.37,76.3,1.53,1.2,1300.0,0.307,yes
parsnip,75.0,1.2,0.3,18.0,4.8,4.9,10.0,0.05,yes
parsnips,75.0,1.2,0.3,18.0,4.8,4.9,10.0,0.05,yes
part-skim mozzarella cheese,254.0,24.3,15.9,2.77,1.13,0.0,619.0,10.1,yes
part-skim ricotta cheese,138.0,11.4,7.91,5.14,0.31,0.0,99.0,4.93,yes
passionfruit juice,115.0,1.41,1.41,24.1,20.6,0.1,42.0,0.705,yes
pasta,371.0,13.0,1.51,74.7,2.67,3.2,6.0,0.277,yes
pasta such as ditalini,371.0,13.0,1.51,74.7,2.67,3.2,6.0,0.277,yes
pasteurized egg whites,48.0,10.2,0.0,1.04,0.25,0.0,169.0,0.0,yes
pastry cream,379.0,5.48,18.5,47.8,17.0,2.2,231.0,5.54,yes
pastry flour,379.0,5.48,18.5,47.8,17.0,2.2,231.0,5.54,yes
pea shoots,27.0,2.6,0.3,5.2,3.0,2.2,4.0,0.069,yes
pea tendrils or watercress,11.0,2.3,0.1,1.29,0.2,0.5,41.0,0.027,yes
peach,224.0,1.9,10.0,32.9,16.2,0.8,217.0,1.51,yes
peach dressing,355.0,0.69,26.2,31.9,17.7,0.7,1130.0,2.39,yes
peach nectar,50.0,0.21,0.51,11.9,11.2,0.1,8.0,0.224,yes
peach preserves,278.0,0.37,0.07,68.9,48.5,1.1,32.0,0.01,yes
peach schnapps,224.0,1.9,10.0,32.9,16.2,0.8,217.0,1.51,yes
peaches,224.0,1.9,10.0,32.9,16.2,0.8,217.0,1.51,yes
peaches or packages frozen peaches,94.0,0.63,0.13,24.0,22.2,1.8,6.0,0.014,yes
peanut,522.0,15.5,33.7,47.4,42.2,4.1,156.0,4.68,yes
peanut butter,590.0,24.0,49.9,21.8,9.29,6.6,203.0,7.72,yes
peanut butter chips,432.0,9.8,20.0,62.2,0.0,4.2,328.0,5.59,yes
peanut butter drizzle,590.0,24.0,49.9,21.8,9.29,6.6,203.0,7.72,yes
peanut butter drizzle or chocolate sauce,257.0,6.31,16.0,22.0,17.1,1.8,1340.0,2.91,yes
peanut butteror almond butter,590.0,24.0,49.9,21.8,9.29,6.6,203.0,7.72,yes
peanut oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,14.4,yes
peanut oilsor olive oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,14.4,yes
peanut or vegetable oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,15.3,yes
peanut or vegtable oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,14.4,yes
peanut satay sauces,257.0,6.31,16.0,22.0,17.1,1.8,1340.0,2.91,yes
peanut sauce,257.0,6.31,16.0,22.0,17.1,1.8,1340.0,2.91,yes
peanuts,522.0,15.5,33.7,47.4,42.2,4.1,156.0,4.68,yes
peanuts or other nuts,354.0,5.21,21.9,34.4,25.0,1.0,94.0,11.5,yes
pear,57.0,0.36,0.14,15.2,9.75,3.1,1.0,0.022,yes
pearl barley,123.0,2.26,0.44,28.2,0.28,3.8,3.0,0.093,yes
pearl couscous,112.0,3.79,0.16,23.2,0.1,1.4,5.0,0.029,yes
pearl onions,123.0,2.26,0.44,28.2,0.28,3.8,3.0,0.093,yes
pearled barley,123.0,2.26,0.44,28.2,0.28,3.8,3.0,0.093,yes
pears,57.0,0.36,0.14,15.2,9.75,3.1,1.0,0.022,yes
pecan halves,691.0,9.17,72.0,13.9,3.97,9.6,0.0,6.18,yes
pecan topping,691.0,9.17,72.0,13.9,3.97,9.6,0.0,6.18,yes
pecans,691.0,9.17,72.0,13.9,3.97,9.6,0.0,6.18,yes
pecans or walnuts,884.0,0.0,100.0,0.0,0.0,0.0,0.0,9.1,yes
pecorino romano,387.0,31.8,26.9,3.63,0.73,0.0,1430.0,17.1,yes
pecorino romano cheese,387.0,31.8,26.9,3.63,0.73,0.0,1430.0,17.1,yes
peel and thinly slice the garlic,309.0,16.5,27.0,0.0,0.0,0.0,68.0,11.5,yes
pencil-thin asparagus,20.0,2.2,0.12,3.88,1.88,2.1,2.0,0.04,yes
penne,352.0,13.9,2.93,73.4,2.74,9.2,6.0,0.428,yes
penne pasta,371.0,13.0,1.51,74.7,2.67,3.2,6.0,0.277,yes
pepitas,559.0,30.2,49.0,10.7,1.4,6.0,7.0,8.66,yes
pepitas or pecans,691.0,9.17,72.0,13.9,3.97,9.6,0.0,6.18,yes
peppadew peppers,27.0,1.66,0.45,5.35,1.95,3.4,13.0,0.048,yes
pepper,27.0,1.66,0.45,5.35,1.95,3.4,13.0,0.048,yes
pepper jack or monterey jack cheese,373.0,24.5,30.3,0.68,0.5,0.0,600.0,19.1,yes
pepper jelly,266.0,0.15,0.02,70.0,51.2,1.0,30.0,0.005,yes
peppercorns,564.0,1.2,61.4,3.5,2.45,0.0,1100.0,10.5,yes
peppermint candies,384.0,2.19,7.17,81.0,63.8,2.0,28.0,4.34,yes
peppermint candycane,70.0,3.75,0.94,14.9,0.0,8.0,31.0,0.246,yes
peppermint extract,288.0,0.06,0.06,12.6,12.6,0.0,9.0,0.01,yes
pepperoncini peppers,27.0,1.66,0.45,5.35,1.95,3.4,13.0,0.048,yes
pepperoni,504.0,19.2,46.3,1.18,0.0,0.0,1580.0,17.7,yes
per date,282.0,2.45,0.39,75.0,63.4,8.0,2.0,0.032,yes
percent agave tequila,310.0,0.09,0.45,76.4,68.0,0.2,4.0,0.0,yes
percent lean beef,291.0,17.3,24.0,0.0,0.0,0.0,59.0,9.75,yes
percent lean chuck,124.0,21.9,3.99,0.21,0.0,0.0,81.0,1.75,yes
percent lean sirloin,152.0,19.1,7.81,0.0,0.0,0.0,76.0,3.35,yes
percent light cheddar cheese,408.0,23.3,34.0,2.44,0.0,0.0,654.0,19.2,yes
percent milk,446.0,7.6,13.8,71.7,10.3,3.4,687.0,2.91,yes
perfect wheat berries,250.0,10.2,1.53,48.9,6.12,4.1,439.0,0.0,yes
perfectly puffed pita bread at home,275.0,9.1,1.2,55.7,1.3,2.2,536.0,0.166,yes
persian cucumbers,10.0,0.59,0.16,2.16,1.38,0.7,2.0,0.078,yes
pesto,372.0,4.16,36.4,6.93,2.6,2.1,1030.0,6.72,yes
phyllo,299.0,7.1,6.0,52.6,0.18,1.9,483.0,1.47,yes
phyllo layers,299.0,7.1,6.0,52.6,0.18,1.9,483.0,1.47,yes
phyllo sheets,299.0,7.1,6.0,52.6,0.18,1.9,483.0,1.47,yes
picholine olives,235.0,11.8,16.5,9.2,0.0,0.0,964.0,5.85,yes
pickle juice,49.0,0.9,0.7,9.77,4.8,2.5,1670.0,0.14,yes
pickled celery,14.0,0.69,0.17,2.97,1.34,1.6,80.0,0.042,yes
pickled hot cherry peppers,22.0,0.8,0.4,4.56,1.6,2.6,1430.0,0.061,yes
pickled jalape o liquid,65.0,0.8,0.08,16.3,11.0,0.8,149.0,0.013,yes
pickled jalape o pepper,22.0,0.8,0.4,4.56,1.6,2.6,1430.0,0.061,yes
pickled jalape o peppers,22.0,0.8,0.4,4.56,1.6,2.6,1430.0,0.061,yes
pickled jalape os,49.0,0.9,0.7,9.77,4.8,2.5,1670.0,0.14,yes
pickled sushi ginger,20.0,0.33,0.1,4.83,0.0,2.6,906.0,0.037,yes
pickles,49.0,0.9,0.7,9.77,4.8,2.5,1670.0,0.14,yes
pickling cucumbers,11.0,0.33,0.2,2.26,1.06,1.2,1210.0,0.052,yes
pickling salt,49.0,0.9,0.7,9.77,4.8,2.5,1670.0,0.14,yes
pickling spice,342.0,5.76,12.6,69.3,7.76,14.8,52.0,6.53,yes
pickling spices,342.0,5.76,12.6,69.3,7.76,14.8,52.0,6.53,yes
pie crusts,484.0,6.08,22.4,64.5,26.3,2.7,503.0,4.72,yes
pie shell,476.0,6.41,21.8,63.5,1.5,6.7,324.0,7.1,yes
piece baguette,497.0,12.5,24.8,59.9,53.2,3.0,194.0,16.4,yes
piece ciabatta,497.0,12.5,24.8,59.9,53.2,3.0,194.0,16.4,yes
piece cm of ginger,80.0,1.82,0.75,17.8,1.7,2.0,13.0,0.203,yes
piece cuban bread,307.0,15.9,20.4,14.9,0.08,0.9,594.0,3.57,yes
piece cucumber,10.0,0.59,0.16,2.16,1.38,0.7,2.0,0.078,yes
piece few of dill,12.0,0.5,0.3,2.41,1.07,1.0,809.0,0.079,yes
piece french breadbaguette,277.0,8.6,4.3,50.2,0.31,3.2,574.0,0.962,yes
piece ginger,80.0,1.82,0.75,17.8,1.7,2.0,13.0,0.203,yes
piece kombu,497.0,12.5,24.8,59.9,53.2,3.0,194.0,16.4,yes
piece mild dried chile,324.0,10.6,5.81,69.9,41.1,28.7,91.0,0.813,yes
piece of an onion,40.0,1.1,0.1,9.34,4.24,1.7,4.0,0.042,yes
piece of lean higher-welfare porkfillet,58.0,0.9,0.0,0.27,0.0,0.0,4.0,0.0,yes
piece parmesan cheese rind,420.0,28.4,27.8,13.9,0.07,0.0,1800.0,15.4,yes
piece turmeric,312.0,9.68,3.25,67.1,3.21,22.7,27.0,1.84,yes
piece vanilla bean,497.0,12.5,24.8,59.9,53.2,3.0,194.0,16.4,yes
pieces calabaza squash,24.0,0.81,0.2,5.73,3.24,0.9,5.0,0.02,yes
pieces cm of ginger,80.0,1.82,0.75,17.8,1.7,2.0,13.0,0.203,yes
pieces country-white bread,238.0,10.7,2.15,43.9,5.0,9.2,478.0,0.63,yes
pieces ginger,80.0,1.82,0.75,17.8,1.7,2.0,13.0,0.203,yes
pieces pita bread,275.0,9.1,1.2,55.7,1.3,2.2,536.0,0.166,yes
pieces red bell pepper,26.0,0.99,0.3,6.03,4.2,2.1,4.0,0.059,yes
pieces red onions,40.0,1.1,0.1,9.34,4.24,1.7,4.0,0.042,yes
pieces refrigerated pizza dough,424.0,5.4,18.9,59.1,0.0,2.5,294.0,4.75,yes
pies,316.0,3.0,16.1,42.6,0.0,2.6,374.0,2.46,yes
pimento-stuffed green olives,130.0,1.15,12.9,4.96,0.0,4.0,1620.0,2.3,yes
pimiento-stuffed green olives,130.0,1.15,12.9,4.96,0.0,4.0,1620.0,2.3,yes
pimiento-stuffed olives,130.0,1.15,12.9,4.96,0.0,4.0,1620.0,2.3,yes
pinches truffle salt,327.0,11.2,28.5,6.3,0.0,0.0,807.0,10.1,yes
pine nuts,673.0,13.7,68.4,13.1,3.59,3.7,2.0,4.9,yes
pine nuts or walnuts,673.0,13.7,68.4,13.1,3.59,3.7,2.0,4.9,yes
pineapple,253.0,0.1,0.1,66.4,21.0,0.4,42.0,0.018,yes
pineapple cubes,170.0,17.3,4.0,16.1,14.5,0.0,24000.0,1.99,yes
pineapple juice,48.0,0.5,0.1,11.7,0.0,0.1,2.0,0.01,yes
pineapple preserves,278.0,0.37,0.07,68.9,48.5,1.1,32.0,0.01,yes
pineapple slices,253.0,0.1,0.1,66.4,21.0,0.4,42.0,0.018,yes
pineapple tidbits or chunks,86.0,0.4,0.1,22.2,21.1,1.1,2.0,0.007,yes
pineapplecut into pieces,497.0,12.5,24.8,59.9,53.2,3.0,194.0,16.4,yes
pineapples,253.0,0.1,0.1,66.4,21.0,0.4,42.0,0.018,yes
pink grapefruit,39.0,0.5,0.1,9.2,0.0,0.0,1.0,0.014,yes
pink grapefruitsections,127.0,20.5,4.4,0.0,0.0,0.0,75.0,0.81,yes
pink himalayan salt,149.0,9.06,0.49,27.9,0.36,5.3,238.0,0.126,yes
pink lady apples,127.0,20.5,4.4,0.0,0.0,0.0,75.0,0.81,yes
pinot noir or other spicy dry red wine,19.0,0.04,0.0,0.27,0.0,0.0,8.0,0.0,yes
pints coffee ice cream,195.0,2.96,19.1,3.66,3.67,0.0,72.0,10.2,yes
pints multicolored cherry or grape tomatoes,21.0,0.0,0.0,5.14,1.52,0.0,10.0,0.0,yes
pints raspberries,52.0,1.2,0.65,11.9,4.42,6.5,1.0,0.019,yes
pistachio ice cream,237.0,4.29,8.57,37.1,18.6,0.0,129.0,2.32,yes
pistachio oils,560.0,20.2,45.3,27.2,7.66,10.6,1.0,5.91,yes
pistachio pesto,372.0,4.16,36.4,6.93,2.6,2.1,1030.0,6.72,yes
pistachios,560.0,20.2,45.3,27.2,7.66,10.6,1.0,5.91,yes
pita,275.0,9.1,1.2,55.7,1.3,2.2,536.0,0.166,yes
pita bread,275.0,9.1,1.2,55.7,1.3,2.2,536.0,0.166,yes
pita breads,275.0,9.1,1.2,55.7,1.3,2.2,536.0,0.166,yes
pitas,275.0,9.1,1.2,55.7,1.3,2.2,536.0,0.166,yes
pitted,83.0,0.73,0.21,21.1,16.2,2.3,3.0,0.041,yes
pitted alfonso or kalamata olives,83.0,0.73,0.21,21.1,16.2,2.3,3.0,0.041,yes
pitted and coarsely kalamata olives,83.0,0.73,0.21,21.1,16.2,2.3,3.0,0.041,yes
pitted black olives,83.0,0.73,0.21,21.1,16.2,2.3,3.0,0.041,yes
pitted brine-cured green olives,130.0,1.15,12.9,4.96,0.0,4.0,1620.0,2.3,yes
pitted castelvetrano olives,83.0,0.73,0.21,21.1,16.2,2.3,3.0,0.041,yes
pitted dates,282.0,2.45,0.39,75.0,63.4,8.0,2.0,0.032,yes
pitted dried plum,240.0,2.18,0.38,63.9,38.1,7.1,2.0,0.088,yes
pitted dried plums,240.0,2.18,0.38,63.9,38.1,7.1,2.0,0.088,yes
pitted gaeta olives,83.0,0.73,0.21,21.1,16.2,2.3,3.0,0.041,yes
pitted green olives,130.0,1.15,12.9,4.96,0.0,4.0,1620.0,2.3,yes
pitted kalamata olives,83.0,0.73,0.21,21.1,16.2,2.3,3.0,0.041,yes
pitted manzanilla olives,130.0,1.15,12.9,4.96,0.0,4.0,1620.0,2.3,yes
pitted medjool date,282.0,2.45,0.39,75.0,63.4,8.0,2.0,0.032,yes
pitted medjool dates,282.0,2.45,0.39,75.0,63.4,8.0,2.0,0.032,yes
pitted ni oise olives,83.0,0.73,0.21,21.1,16.2,2.3,3.0,0.041,yes
pitted oil-cured olives,884.0,0.0,100.0,0.0,0.0,0.0,0.0,14.4,yes
pitted olives,83.0,0.73,0.21,21.1,16.2,2.3,3.0,0.041,yes
pitted prune,257.0,2.1,0.2,65.1,39.0,3.3,23.0,0.016,yes
pitted prunes,257.0,2.1,0.2,65.1,39.0,3.3,23.0,0.016,yes
pitted rainier cherries,83.0,0.73,0.21,21.1,16.2,2.3,3.0,0.041,yes
pitted sweet cherries or pitted frozen cherries,83.0,0.73,0.21,21.1,16.2,2.3,3.0,0.041,yes
pizza dough,299.0,7.1,6.0,52.6,0.18,1.9,483.0,1.47,yes
pkg baby arugula,25.0,2.58,0.66,3.65,2.05,1.6,27.0,0.086,yes
pkg baby spinach,172.0,7.89,13.0,5.9,1.85,0.7,566.0,6.09,yes
pkg dry rapid-rise yeast,325.0,40.4,7.61,41.2,0.0,26.9,51.0,1.0,yes
pkg dry yeast,325.0,40.4,7.61,41.2,0.0,26.9,51.0,1.0,yes
pkg extra-firm water- tofu,83.0,9.98,5.26,1.18,0.71,1.0,4.0,0.919,yes
pkg frozen mixed berries,383.0,13.2,10.5,58.8,26.3,7.9,447.0,3.85,yes
pkg microwave-in-bag haricots verts,368.0,29.5,25.9,4.24,4.24,0.0,2020.0,6.93,yes
pkg precooked brown rice,363.0,7.23,2.78,76.5,0.66,4.6,8.0,0.557,yes
pkg rainbow carrots,97.0,17.6,2.42,0.0,0.0,0.0,60.0,0.452,yes
pkg refrigerated piecrust,424.0,5.4,18.9,59.1,0.0,2.5,294.0,4.75,yes
pkg shredded coleslaw mix,120.0,0.79,7.09,13.2,9.33,2.8,178.0,1.06,yes
pkg tempeh,192.0,20.3,10.8,7.64,0.0,0.0,9.0,2.54,yes
pkg whole-wheat gnocchi,427.0,10.6,14.1,69.6,1.19,10.3,800.0,2.06,yes
plain,407.0,11.9,6.6,73.5,0.0,5.1,698.0,1.51,yes
plain almond,614.0,21.0,55.5,18.8,6.27,10.3,227.0,6.55,yes
plain dried bread crumbs,395.0,13.4,5.3,72.0,6.2,4.5,732.0,1.2,yes
plain dry breadcrumbs,428.0,8.0,15.4,63.4,11.6,2.1,1280.0,3.96,yes
plain fat-free greek yogurt,73.0,9.95,1.92,3.94,3.56,0.0,34.0,1.23,yes
plain fat-free yogurt,63.0,5.25,1.55,7.04,7.04,0.0,70.0,1.0,yes
plain flour,381.0,9.1,3.5,79.2,2.21,2.8,250.0,0.75,yes
plain greek yogurt,73.0,9.95,1.92,3.94,3.56,0.0,34.0,1.23,yes
plain greek-style yogurt,73.0,9.95,1.92,3.94,3.56,0.0,34.0,1.23,yes
plain low-fat greek yogurt,63.0,5.25,1.55,7.04,7.04,0.0,70.0,1.0,yes
plain low-fat greek-style yogurt,63.0,5.25,1.55,7.04,7.04,0.0,70.0,1.0,yes
plain low-fat kefir,63.0,5.25,1.55,7.04,7.04,0.0,70.0,1.0,yes
plain low-fat yogurt,63.0,5.25,1.55,7.04,7.04,0.0,70.0,1.0,yes
plain nonfat greek yogurt,61.0,10.3,0.37,3.64,0.0,0.0,36.0,0.108,yes
plain nonfat yogurt,61.0,10.3,0.37,3.64,0.0,0.0,36.0,0.108,yes
plain or vanilla almond-or coconut based milk,539.0,6.17,33.4,57.3,0.27,4.0,514.0,4.33,yes
plain reduced-fat,269.0,5.71,1.9,57.3,8.57,1.0,429.0,0.0,yes
plain reduced-fat greek yogurt,269.0,5.71,1.9,57.3,8.57,1.0,429.0,0.0,yes
plain unsweetened coconut milk yogurt,56.0,5.73,0.18,7.68,7.68,0.0,77.0,0.116,yes
plain vegan bread crumbs,395.0,13.4,5.3,72.0,6.2,4.5,732.0,1.2,yes
plain whole-milk greek yogurt,97.0,9.0,5.0,3.98,4.0,0.0,35.0,2.4,yes
plain whole-milk yogurt,61.0,3.47,3.25,4.66,4.66,0.0,46.0,2.1,yes
plain wholemeal flour,381.0,9.1,3.5,79.2,2.21,2.8,250.0,0.75,yes
plain yellow cornmeal,334.0,8.28,3.4,70.3,0.0,6.7,1250.0,0.478,yes
plain yogurt,66.0,2.64,1.76,9.69,5.29,0.4,13.0,0.22,yes
plantain,121.0,1.09,0.08,29.2,2.25,2.6,2.0,0.072,yes
plenty of black pepper,251.0,10.4,3.26,64.0,0.64,25.3,20.0,1.39,yes
plum,46.0,0.7,0.28,11.4,9.92,1.4,0.0,0.017,yes
plum sauce,184.0,0.89,1.04,42.8,0.0,0.7,538.0,0.153,yes
plum tomato,46.0,0.7,0.28,11.4,9.92,1.4,0.0,0.017,yes
plum tomatoes,46.0,0.7,0.28,11.4,9.92,1.4,0.0,0.017,yes
plums,46.0,0.7,0.28,11.4,9.92,1.4,0.0,0.017,yes
plus all-purpose flour,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.155,yes
plus apple cider vinegar,21.0,0.0,0.0,0.93,0.4,0.0,5.0,0.0,yes
plus basil,41.0,2.47,1.44,5.76,2.88,2.1,39.0,0.206,yes
plus basil leaves,23.0,2.46,0.33,4.02,0.0,0.0,20.0,0.091,yes
plus blanched almonds,590.0,21.4,52.5,18.7,4.63,9.9,19.0,3.95,yes
plus bourbon,41.0,2.47,1.44,5.76,2.88,2.1,39.0,0.206,yes
plus brown sugar,380.0,0.12,0.0,98.1,97.0,0.0,28.0,0.0,yes
plus cajun seasonings,41.0,2.47,1.44,5.76,2.88,2.1,39.0,0.206,yes
plus canola oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
plus canola oils,884.0,0.0,100.0,0.0,0.0,0.0,0.0,7.36,yes
plus chicken broth,185.0,25.3,8.1,0.9,0.0,0.0,482.0,2.25,yes
plus cider vinegar,21.0,0.0,0.0,0.93,0.4,0.0,5.0,0.0,yes
plus coconut water,19.0,0.72,0.2,3.71,2.61,1.1,105.0,0.176,yes
plus cornstarch,381.0,0.26,0.05,91.3,0.0,0.9,9.0,0.009,yes
plus cream sherry,41.0,2.47,1.44,5.76,2.88,2.1,39.0,0.206,yes
plus cumin,375.0,17.8,22.3,44.2,2.25,10.5,168.0,1.54,yes
plus dark rum,41.0,2.47,1.44,5.76,2.88,2.1,39.0,0.206,yes
plus distilled white vinegar,18.0,0.0,0.0,0.04,0.04,0.0,2.0,0.0,yes
plus evaporated fat-free milk,107.0,6.67,2.0,15.7,6.67,0.0,100.0,1.2,yes
plus extra-virgin olive oil,92.0,10.2,4.9,1.82,0.4,1.0,7.0,0.6,yes
plus extra-virgin olive oils,92.0,10.2,4.9,1.82,0.4,1.0,7.0,0.6,yes
plus fat-free,105.0,15.7,1.0,7.66,5.48,0.0,702.0,0.644,yes
plus fat-free evaporated milk,107.0,6.67,2.0,15.7,6.67,0.0,100.0,1.2,yes
plus fennel,31.0,1.24,0.2,7.3,3.93,3.1,52.0,0.09,yes
