food_name,cal_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,sugar_per_100g,fiber_per_100g,sodium_per_100g,satfat_per_100g,matched
- package extra-firm tofu,83.0,9.98,5.26,1.18,0.71,1.0,4.0,0.919,yes
- package frozen sweet potato chunks,182.0,2.16,8.92,35.6,12.9,5.7,146.0,1.16,yes
- packages frozen strawberries,182.0,2.16,8.92,35.6,12.9,5.7,146.0,1.16,yes
- peanut butter,590.0,24.0,49.9,21.8,9.29,6.6,203.0,7.72,yes
- pepper,27.0,1.66,0.45,5.35,1.95,3.4,13.0,0.048,yes
- piece pancetta,497.0,12.5,24.8,59.9,53.2,3.0,194.0,16.4,yes
- pieces digestive biscuits,358.0,7.5,17.0,43.6,4.04,2.0,1070.0,11.9,yes
- pineapple,253.0,0.1,0.1,66.4,21.0,0.4,42.0,0.018,yes
- pitted dates,282.0,2.45,0.39,75.0,63.4,8.0,2.0,0.032,yes
- pork tenderloin,110.0,17.2,3.8,1.82,0.14,0.0,594.0,1.16,yes
- pork tenderloins,110.0,17.2,3.8,1.82,0.14,0.0,594.0,1.16,yes
- portions black cod or sablefish fillet,195.0,13.4,15.3,0.0,0.0,0.0,56.0,3.2,yes
- portions of black cod or sablefish fillet,195.0,13.4,15.3,0.0,0.0,0.0,56.0,3.2,yes
- pure maple syrup,260.0,0.04,0.06,67.0,60.5,0.0,12.0,0.007,yes
- reserved oil from the sun-dried tomatoes,213.0,5.06,14.1,23.3,0.0,5.8,266.0,1.89,yes
- rhubarb,21.0,0.9,0.2,4.54,1.1,1.8,4.0,0.053,yes
- roasting chickens,223.0,24.0,13.4,0.0,0.0,0.0,73.0,3.74,yes
- sablefish steaks,195.0,13.4,15.3,0.0,0.0,0.0,56.0,3.2,yes
- salmon fillet,290.0,23.0,18.0,9.0,0.8,6.1,490.0,2.85,yes
- salt,717.0,0.85,81.1,0.06,0.06,0.0,643.0,51.4,yes
- self-rising flour,354.0,9.89,0.97,74.2,0.22,2.7,1190.0,0.154,yes
- serrano chilies,32.0,1.74,0.44,6.7,3.83,3.7,10.0,0.059,yes
- shisito peppers,27.0,1.66,0.45,5.35,1.95,3.4,13.0,0.048,yes
- shredded beets,43.0,1.61,0.17,9.56,6.76,2.8,78.0,0.027,yes
- shredded cabbage,15.0,1.1,0.5,2.4,1.06,1.6,498.0,0.067,yes
- shredded carrots,341.0,8.1,1.49,79.6,38.8,23.6,275.0,0.256,yes
- shrimp,99.0,24.0,0.28,0.2,0.0,0.0,111.0,0.056,yes
- sized and pureed beetsequal to,257.0,2.1,0.2,65.1,39.0,3.3,23.0,0.016,yes
- skinless cod,902.0,0.0,100.0,0.0,0.0,0.0,0.0,22.6,yes
- spinach,172.0,7.89,13.0,5.9,1.85,0.7,566.0,6.09,yes
- sprigs thyme,101.0,5.56,1.68,24.4,0.0,14.0,9.0,0.467,yes
- sugar,380.0,0.12,0.0,98.1,97.0,0.0,28.0,0.0,yes
- t green curry paste,458.0,9.0,27.7,47.8,36.2,4.8,9.0,2.63,yes
- t ice cold water,884.0,0.11,100.0,0.0,0.0,0.0,0.0,8.98,yes
- tamari,60.0,10.5,0.1,5.57,1.7,0.8,5590.0,0.011,yes
- tilapia,96.0,20.1,1.7,0.0,0.0,0.0,52.0,0.585,yes
- to - bone-in pork chops,170.0,20.7,9.03,0.0,0.0,0.0,55.0,2.99,yes
- to - boneless pork butt,145.0,19.0,7.18,0.76,0.08,0.0,358.0,2.84,yes
- to - chicken,158.0,18.0,17.6,4.05,0.47,0.3,722.0,3.23,yes
- to - chicken breast cutlets,263.0,14.7,15.8,15.0,0.37,1.1,536.0,3.26,yes
- to - racks baby back pork ribs,336.0,15.8,29.9,0.9,0.0,0.0,53.0,13.3,yes
- to - skinless cod fillets,902.0,0.0,100.0,0.0,0.0,0.0,0.0,22.6,yes
- to - turkey,209.0,11.4,16.0,4.68,2.9,0.5,1070.0,4.36,yes
- unsulphured blackstrap molasses,290.0,0.0,0.1,74.7,74.7,0.0,37.0,0.018,yes
- unsweetened vanilla almond milk,15.0,0.4,0.96,1.31,0.81,0.2,72.0,0.08,yes
- vegan mini chocolate chips,497.0,4.6,25.2,66.1,0.0,0.0,290.0,8.32,yes
- vegetable broth,6.0,0.23,0.07,1.02,0.57,0.0,303.0,0.031,yes
- water,384.0,7.14,7.14,72.8,0.0,7.1,571.0,0.0,yes
- water or vegetable broth,6.0,0.23,0.07,1.02,0.57,0.0,303.0,0.031,yes
- whole chicken,270.0,15.7,12.9,22.9,0.49,2.2,511.0,2.83,yes
- worcestershire,77.0,0.0,0.0,19.2,10.0,0.0,1300.0,0.0,yes
- yellow curry powder,325.0,14.3,14.0,55.8,2.76,53.2,52.0,1.65,yes
